tfbs
PO2F2
CHD4
GATA1TAL1
FEV
ATOH1
MSL1
EGR2
SRY
ETV4
MAF
TF2L1
BATF
E2F3
STAT5B
GM6871
SOX10
KAT8
TYY1
LMO2
MXI1
CUX1
BMAL1
NFIB
HNF1A
LHX3
FOXA2
NIPBL
FOXP2
JARID2
JUN
NGN2
CREB1
NKX2-2
WIZ
HAND2
BACH1
AHR
FOS
ZNF281
SALL4
IRF4
CREM
ELOB
PLAGL1
NR4A2
ZN143
DDX5
SNAI1
USP16
POU3F1
MYBL1
CBX2
ZN431
TF7L1
CTR9
MYCN
NPAS4
TCFL5
STAT5A
STA5A
MECP2
MBOAT4
SOX11
NR5A1
LHX8
KDM6A
EHF
KAT2B
ONECUT1
SF1
HXC9
WT1
GABPA
TBX19
SMCA5
KDM6B
USF1
E2F2
IRF2
CTCFL
BHA15
ARX
MSGN1
ETS1
HMX3
HSF2
CHD2
MAFG
TGIF2
NFKB2
MAFK
TBX20
GATA6
BHLHE41
PPARG
FOXL2
H1F0
STAT1
NOTCH1
ERR1
REST
BAZ1B
RELA
DLX3
CHD7
LHX1
ZN281
SIX2
ASCL1
SP3
CCNK
GATA1
ESR2
NR1I2
BRWD1
ELF5
FOXG1
KLF5
HOXA11
HNF4G
ALX4
RB
PRDM5
E2F4
NR2E1
ZNF431
MEIS1
PHOX2A
TCF21
DMRTB
IKZF3
TBX21
RXRB
HLF
TFAP2A
CDX1
NEUROG1
CSTF3
TEAD4
PRGR
STA5B
NRF1
FLI1
TFE3
RBPJ
SS18
HOXD8
ERG
NR1H3
FOXJ2
AHRARNT
NEUROD1
ESRRA
E2F1
ZFP985
TCF7
NEUROD2
EGR1
PAX6
PO5F1
NKX25
ZFP319
POU5F1
CHRM2
TCF7L1
ZFPM1
SP7
LUZP1
EPAS1
SNAI2
RARA
DMBX1
FOXD3
MYOG
ERR2
ZKSC1
DUXBL1
PAX5
OVOL2
NFAT5
STAT4
GMEB1
EBF1
PPARD
HES1
NFAC2
DUX
PTF1A
FOSB
BHLHA15
TBX5
BACH2
CEBPG
LBR
HMGA1
RARB
PPARGRXRA
ERR3
IKZF1
ELF4
HINFP
STAG2
HXA9
MSX3
RFX6
COT1
ZBTB16
MTOR
SP2
FOXA3
ARID1A
ETV2
EVI1
SOX15
FOSL1
HOXD11
AP2B
SOX5
NR2C2
ZIC3
SRF
HAND1TCF3
POU2F1
ZFP809
HOXD13
MED12
SIX3
E2F7
RBPJL
POU3F2
ARID3B
SUZ12
CEBPB
CDK9
FOXH1
SRBP1
GRHL2
NANOG
IRF8
TWST1
KLF15
MBD4
LHX6
TFCP2
SPIB
PRDM14
ZKSCAN1
ONECUT2
NKX3-1
ARID3A
PKNX1
